symbol,company_name,isin,industry
360ONE,360 ONE WAM Ltd.,INE466L01038,Financial Services
3MINDIA,3M India Ltd.,INE470A01017,Diversified
AADHARHFC,Aadhar Housing Finance Ltd.,INE883F01010,Financial Services
AARTIIND,Aarti Industries Ltd.,INE769A01020,Chemicals
AAVAS,Aavas Financiers Ltd.,INE216P01012,Financial Services
ABB,ABB India Ltd.,INE117A01022,Capital Goods
ABBOTINDIA,Abbott India Ltd.,INE358A01014,Healthcare
ABCAPITAL,Aditya Birla Capital Ltd.,INE674K01013,Financial Services
ABDL,Allied Blenders and Distillers Ltd.,INE552Z01027,Fast Moving Consumer Goods
ABFRL,Aditya Birla Fashion and Retail Ltd.,INE647O01011,Consumer Services
ABLBL,Aditya Birla Lifestyle Brands Ltd.,INE14LE01019,Consumer Services
ABREL,Aditya Birla Real Estate Ltd.,INE055A01016,Realty
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,INE404A01024,Financial Services
ACC,ACC Ltd.,INE012A01025,Construction Materials
ACE,Action Construction Equipment Ltd.,INE731H01025,Capital Goods
ACMESOLAR,ACME Solar Holdings Ltd.,INE622W01025,Power
ACUTAAS,Acutaas Chemicals Ltd.,INE00FF01025,Healthcare
ADANIENSOL,Adani Energy Solutions Ltd.,INE931S01010,Power
ADANIENT,Adani Enterprises Ltd.,INE423A01024,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,INE364U01010,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,Services
ADANIPOWER,Adani Power Ltd.,INE814H01029,Power
AEGISLOG,Aegis Logistics Ltd.,INE208C01025,Oil Gas & Consumable Fuels
AEGISVOPAK,Aegis Vopak Terminals Ltd.,INE0INX01018,Oil Gas & Consumable Fuels
AFCONS,Afcons Infrastructure Ltd.,INE101I01011,Construction
AFFLE,Affle 3i Ltd.,INE00WC01027,Information Technology
AIAENG,AIA Engineering Ltd.,INE212H01026,Capital Goods
AIIL,Authum Investment & Infrastructure Ltd.,INE206F01022,Financial Services
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,INE031B01049,Healthcare
ALKEM,Alkem Laboratories Ltd.,INE540L01014,Healthcare
AMBER,Amber Enterprises India Ltd.,INE371P01015,Consumer Durables
AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,Construction Materials
ANANDRATHI,Anand Rathi Wealth Ltd.,INE463V01026,Financial Services
ANANTRAJ,Anant Raj Ltd.,INE242C01024,Realty
ANGELONE,Angel One Ltd.,INE732I01021,Financial Services
ANTHEM,Anthem Biosciences Ltd.,INE0CZ201020,Healthcare
ANURAS,Anupam Rasayan India Ltd.,INE930P01018,Chemicals
APARINDS,Apar Industries Ltd.,INE372A01015,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,INE437A01024,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,INE438A01022,Automobile and Auto Components
APTUS,Aptus Value Housing Finance India Ltd.,INE852O01025,Financial Services
ARE&M,Amara Raja Energy & Mobility Ltd.,INE885A01032,Automobile and Auto Components
ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,Capital Goods
ASIANPAINT,Asian Paints Ltd.,INE021A01026,Consumer Durables
ASTERDM,Aster DM Quality Care Ltd.,INE914M01019,Healthcare
ASTRAL,Astral Ltd.,INE006I01046,Capital Goods
ATGL,Adani Total Gas Ltd.,INE399L01023,Oil Gas & Consumable Fuels
ATHERENERG,Ather Energy Ltd.,INE0LEZ01016,Automobile and Auto Components
ATUL,Atul Ltd.,INE100A01010,Chemicals
AUBANK,AU Small Finance Bank Ltd.,INE949L01017,Financial Services
AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,Healthcare
AWL,AWL Agri Business Ltd.,INE699H01024,Fast Moving Consumer Goods
AXISBANK,Axis Bank Ltd.,INE238A01034,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,INE917I01010,Automobile and Auto Components
BAJAJFINSV,Bajaj Finserv Ltd.,INE918I01026,Financial Services
BAJAJHFL,Bajaj Housing Finance Ltd.,INE377Y01014,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,INE118A01012,Financial Services
BAJFINANCE,Bajaj Finance Ltd.,INE296A01032,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,Automobile and Auto Components
BALRAMCHIN,Balrampur Chini Mills Ltd.,INE119A01028,Fast Moving Consumer Goods
BANDHANBNK,Bandhan Bank Ltd.,INE545U01014,Financial Services
